               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084674,             0.14041,            0.066824,            0.059816,             0.56045,              0.0821,            0.029085,            0.059186,             0.07086,            0.063499,            0.070337,           0.0032959,           0.0032959
                   1,            0.060406,             0.11964,            0.063337,            0.073624,             0.67088,             0.11948,            0.052053,            0.051506,              0.0695,            0.061664,            0.040243,           0.0065355,           0.0065355
                   2,            0.050854,             0.11394,            0.058815,             0.19074,             0.58675,              0.2734,             0.12969,            0.044628,            0.069797,            0.050204,            0.010055,           0.0096807,           0.0096807
                   3,            0.045154,             0.11379,            0.046449,             0.32381,             0.75234,             0.41603,             0.23681,            0.035279,            0.063341,            0.040239,           0.0095757,           0.0095757,           0.0095757
                   4,            0.041802,             0.11045,            0.038996,             0.42472,             0.81424,             0.52468,             0.31723,            0.035078,            0.061725,            0.033333,           0.0095757,           0.0095757,           0.0095757
                   5,             0.03964,             0.10517,            0.034304,             0.59613,             0.80036,             0.66201,             0.39678,            0.033858,            0.061108,             0.02815,           0.0094343,           0.0094343,           0.0094343
                   6,            0.038379,             0.10426,            0.029118,              0.6855,             0.84377,             0.73994,             0.46421,            0.032398,            0.059759,            0.023625,           0.0092929,           0.0092929,           0.0092929
                   7,            0.037146,             0.10117,            0.023937,             0.72619,             0.86248,             0.76787,              0.4908,            0.031996,            0.060498,             0.01957,           0.0091514,           0.0091514,           0.0091514
                   8,            0.035898,            0.099408,            0.021041,             0.79014,             0.85917,             0.84168,             0.54135,            0.031942,            0.059455,            0.017395,             0.00901,             0.00901,             0.00901
                   9,            0.035847,              0.1004,            0.019168,             0.87724,             0.82622,             0.88939,             0.55821,            0.032748,            0.059932,            0.015958,           0.0088686,           0.0088686,           0.0088686
                  10,            0.035199,            0.099304,            0.017651,             0.89848,             0.86429,             0.90826,             0.59689,            0.031753,            0.060056,            0.014013,           0.0087271,           0.0087271,           0.0087271
                  11,            0.034876,             0.10028,            0.015506,             0.92609,             0.89533,             0.93394,             0.61124,            0.031346,            0.058828,            0.011729,           0.0085857,           0.0085857,           0.0085857
                  12,             0.03471,             0.10127,            0.013501,             0.92683,             0.89617,             0.92898,             0.61547,            0.031006,             0.05926,            0.011831,           0.0084443,           0.0084443,           0.0084443
                  13,            0.033746,            0.098437,            0.012843,             0.93428,             0.89192,              0.9337,             0.61929,            0.031394,            0.059946,            0.011022,           0.0083029,           0.0083029,           0.0083029
                  14,            0.033308,            0.096461,            0.012375,             0.93907,             0.90265,             0.93829,             0.63416,            0.030124,            0.058657,            0.010784,           0.0081614,           0.0081614,           0.0081614
                  15,            0.032953,            0.096872,            0.011519,             0.94711,             0.91656,             0.94389,             0.62193,            0.031827,            0.058805,           0.0095169,             0.00802,             0.00802,             0.00802
                  16,            0.033005,            0.098023,            0.011251,             0.94427,             0.91682,             0.94381,             0.61574,            0.031198,            0.059274,           0.0096996,           0.0078786,           0.0078786,           0.0078786
                  17,            0.032491,            0.096737,            0.011045,             0.92892,             0.89881,             0.93442,             0.63191,            0.030179,            0.058694,            0.010533,           0.0077371,           0.0077371,           0.0077371
                  18,            0.032134,            0.098073,            0.010279,             0.94928,             0.92198,             0.94454,             0.64621,            0.029535,            0.057882,           0.0093781,           0.0075957,           0.0075957,           0.0075957
                  19,            0.031517,            0.094956,           0.0099124,             0.95049,             0.92345,             0.94565,             0.64421,            0.029873,             0.05861,           0.0089011,           0.0074543,           0.0074543,           0.0074543
                  20,            0.031095,            0.093686,           0.0095732,             0.95545,             0.92592,             0.94456,             0.64393,            0.029736,            0.058621,           0.0086014,           0.0073129,           0.0073129,           0.0073129
                  21,            0.031099,            0.094714,           0.0096976,              0.9533,             0.92312,             0.94197,             0.63901,            0.029678,            0.058802,           0.0089592,           0.0071714,           0.0071714,           0.0071714
                  22,            0.030612,            0.094346,           0.0095248,             0.96025,             0.92576,             0.94899,             0.64643,            0.029596,            0.058517,           0.0082884,             0.00703,             0.00703,             0.00703
                  23,            0.030845,            0.093902,           0.0093238,             0.95008,             0.92051,             0.94352,             0.64649,              0.0293,            0.058716,           0.0092011,           0.0068886,           0.0068886,           0.0068886
                  24,            0.030058,            0.090456,           0.0088568,             0.95561,             0.92497,             0.94326,             0.63982,            0.029465,            0.058689,            0.008467,           0.0067471,           0.0067471,           0.0067471
                  25,             0.03012,            0.092014,           0.0086972,             0.96414,               0.934,             0.95171,             0.65104,             0.02949,            0.058255,           0.0077207,           0.0066057,           0.0066057,           0.0066057
                  26,            0.029785,            0.091403,           0.0085736,              0.9503,             0.91826,               0.941,             0.63938,            0.029522,            0.059476,           0.0089418,           0.0064643,           0.0064643,           0.0064643
                  27,            0.029316,            0.089796,           0.0085234,             0.95665,             0.93305,             0.94646,              0.6461,             0.02955,            0.059084,           0.0084078,           0.0063229,           0.0063229,           0.0063229
                  28,            0.029456,            0.091107,           0.0081246,              0.9563,             0.92916,              0.9462,             0.65135,            0.029364,            0.058718,           0.0087629,           0.0061814,           0.0061814,           0.0061814
                  29,            0.029301,            0.090665,           0.0080231,              0.9579,             0.93432,             0.94899,              0.6544,            0.028824,            0.058616,           0.0080499,             0.00604,             0.00604,             0.00604
                  30,              0.0291,            0.090943,           0.0082649,             0.96086,             0.92971,             0.94799,             0.65163,            0.029261,            0.058967,           0.0077973,           0.0058986,           0.0058986,           0.0058986
                  31,            0.028875,            0.091509,           0.0076316,             0.96254,             0.94064,             0.94863,             0.65335,            0.029379,            0.059278,           0.0073793,           0.0057571,           0.0057571,           0.0057571
                  32,            0.028851,            0.089772,           0.0076004,             0.96111,             0.93485,               0.948,             0.65329,            0.029155,            0.058663,            0.007684,           0.0056157,           0.0056157,           0.0056157
                  33,             0.02836,            0.089469,           0.0074808,             0.95739,             0.93688,             0.94939,             0.65008,            0.029112,            0.059805,           0.0075667,           0.0054743,           0.0054743,           0.0054743
                  34,            0.028331,            0.088751,           0.0073543,             0.96116,              0.9336,             0.94728,             0.65024,             0.02941,            0.059127,           0.0076982,           0.0053329,           0.0053329,           0.0053329
