                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2689,                 1.5551,                 1.0885,                 0.7207,                0.77904,                0.79485,                0.51456,                 1.2046,                 0.9798,                 1.1254,             0.00020774,             0.00020774,             0.00020774
                      2,                 1.1977,                  0.964,                  1.071,                0.79597,                 0.8018,                0.85611,                0.56624,                 1.1664,                0.84701,                 1.1143,             0.00041059,             0.00041059,             0.00041059
                      3,                 1.1924,                0.89439,                 1.0686,                 0.8904,                0.85377,                0.91519,                0.60816,                  1.154,                0.71689,                  1.111,             0.00060793,             0.00060793,             0.00060793
                      4,                 1.1737,                0.83438,                 1.0698,                0.87785,                0.84153,                0.90281,                0.60481,                 1.1328,                0.73616,                 1.1027,             0.00060025,             0.00060025,             0.00060025
                      5,                 1.1488,                0.77139,                 1.0564,                0.91529,                0.88246,                0.92669,                0.62232,                 1.1059,                0.62933,                 1.0933,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.1315,                0.73033,                 1.0475,                0.89559,                0.88775,                0.92795,                0.62559,                 1.0961,                0.63357,                 1.0891,               0.000592,               0.000592,               0.000592
                      7,                 1.1125,                0.70045,                 1.0414,                0.92804,                0.89802,                 0.9385,                0.63583,                 1.0855,                0.57905,                 1.0769,             0.00058375,             0.00058375,             0.00058375
                      8,                 1.1038,                0.67079,                 1.0381,                 0.9325,                0.90587,                0.94013,                0.64198,                 1.0829,                0.55994,                 1.0735,              0.0005755,              0.0005755,              0.0005755
                      9,                 1.0891,                0.64831,                 1.0269,                0.94422,                0.91452,                0.94431,                0.64353,                 1.0796,                0.54736,                 1.0791,             0.00056725,             0.00056725,             0.00056725
                     10,                 1.0921,                0.63868,                  1.033,                0.93039,                0.91572,                0.94112,                0.63618,                  1.086,                0.54518,                 1.0833,               0.000559,               0.000559,               0.000559
                     11,                 1.0829,                0.62551,                 1.0231,                0.93858,                0.91524,                0.94388,                0.65126,                 1.0713,                0.52858,                 1.0698,             0.00055075,             0.00055075,             0.00055075
                     12,                 1.0689,                0.60072,                 1.0222,                0.94517,                0.92509,                0.94761,                0.64885,                 1.0744,                0.50834,                 1.0731,              0.0005425,              0.0005425,              0.0005425
