               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083301,            0.081973,            0.066674,            0.052413,             0.51607,            0.090749,            0.039767,            0.065094,            0.073869,            0.063381,            0.070337,           0.0032959,           0.0032959
                   1,            0.059425,            0.064827,            0.062654,               0.103,             0.58467,              0.1771,            0.079163,            0.046746,            0.071603,            0.059093,            0.040315,           0.0066073,           0.0066073
                   2,            0.050924,            0.061131,            0.054913,             0.19522,             0.66951,              0.2909,             0.13321,            0.042974,            0.069281,            0.047601,            0.010271,           0.0098968,           0.0098968
                   3,            0.044104,            0.057776,            0.044537,             0.28202,             0.76282,             0.39333,             0.22339,            0.039118,            0.068193,            0.039389,            0.009901,            0.009901,            0.009901
                   4,            0.040022,            0.056223,            0.037809,             0.50806,             0.77182,              0.6006,             0.35871,            0.035238,             0.06313,            0.031355,            0.009901,            0.009901,            0.009901
                   5,             0.03908,             0.05578,            0.031855,             0.60534,             0.86377,             0.65932,             0.39505,            0.034675,            0.063416,            0.025015,            0.009868,            0.009868,            0.009868
                   6,            0.036862,            0.054013,            0.028116,             0.61227,             0.85955,             0.68959,             0.42323,            0.033637,            0.060686,            0.023054,            0.009835,            0.009835,            0.009835
                   7,             0.03574,             0.05359,            0.025958,             0.70724,             0.85179,             0.78184,             0.47236,            0.033237,            0.061116,            0.020287,            0.009802,            0.009802,            0.009802
                   8,              0.0359,            0.054361,            0.022429,             0.78671,             0.84657,             0.84841,              0.5241,            0.033601,            0.060992,              0.0172,            0.009769,            0.009769,            0.009769
                   9,            0.034555,            0.052922,            0.019989,              0.8452,             0.82671,             0.87656,             0.55697,            0.031842,            0.060448,            0.016518,            0.009736,            0.009736,            0.009736
                  10,             0.03396,            0.052462,            0.018248,             0.88089,             0.87751,             0.90827,             0.57921,            0.033048,            0.060601,            0.013844,            0.009703,            0.009703,            0.009703
                  11,            0.033444,            0.051316,            0.016602,              0.9006,             0.86859,             0.91493,             0.56517,            0.033739,            0.060403,            0.012901,             0.00967,             0.00967,             0.00967
                  12,            0.033565,            0.051946,              0.0154,             0.84964,             0.79852,             0.83436,               0.524,            0.032873,            0.061296,            0.018319,            0.009637,            0.009637,            0.009637
                  13,             0.03278,            0.051073,            0.015044,             0.93061,             0.89855,             0.93345,             0.61791,            0.030964,            0.058844,            0.010831,            0.009604,            0.009604,            0.009604
                  14,            0.032783,            0.050922,            0.014109,             0.92926,             0.90142,             0.93308,             0.61939,            0.030653,             0.05929,            0.010487,            0.009571,            0.009571,            0.009571
                  15,            0.032067,            0.049573,            0.013564,             0.93082,             0.90715,             0.93968,              0.6185,            0.031095,            0.059861,           0.0099758,            0.009538,            0.009538,            0.009538
