               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083417,            0.082044,            0.066703,            0.055342,             0.53927,            0.094034,            0.041316,            0.061397,             0.07391,            0.063478,            0.070337,           0.0032959,           0.0032959
                   1,            0.059819,            0.064925,            0.062657,             0.10891,             0.63303,             0.17889,            0.076544,            0.051535,            0.073727,            0.059165,            0.040268,           0.0065601,           0.0065601
                   2,            0.050926,             0.06101,            0.054919,             0.20059,             0.63728,             0.28626,             0.13749,            0.042798,            0.070984,            0.048172,            0.010129,           0.0097549,           0.0097549
                   3,            0.043852,            0.057613,            0.044591,             0.29548,             0.73929,             0.39448,             0.22183,              0.0371,            0.067267,            0.038865,           0.0096874,           0.0096874,           0.0096874
                   4,            0.040166,            0.056315,            0.038053,             0.48734,             0.76031,             0.60333,             0.36531,            0.034581,            0.062627,             0.03175,           0.0096874,           0.0096874,           0.0096874
                   5,            0.038925,            0.055834,            0.032082,             0.59996,             0.84565,             0.65338,             0.39143,            0.034441,            0.063267,            0.025825,           0.0095832,           0.0095832,           0.0095832
                   6,             0.03673,            0.053975,            0.028236,             0.60057,             0.84794,             0.68044,             0.41298,            0.033946,            0.060884,            0.023442,           0.0094789,           0.0094789,           0.0094789
                   7,             0.03564,            0.053405,            0.025993,             0.69193,             0.86161,             0.76638,             0.47654,            0.033093,            0.061067,            0.020433,           0.0093747,           0.0093747,           0.0093747
                   8,            0.035533,            0.054209,            0.022794,              0.7536,             0.89524,              0.8335,             0.50752,            0.033493,            0.060816,            0.017125,           0.0092705,           0.0092705,           0.0092705
                   9,            0.034308,            0.052827,            0.020322,             0.87056,             0.82895,             0.89063,             0.57464,            0.031507,            0.059874,            0.015692,           0.0091663,           0.0091663,           0.0091663
                  10,            0.033557,            0.052205,            0.018565,             0.88409,             0.85377,              0.9018,             0.57225,            0.032848,            0.059833,            0.014625,           0.0090621,           0.0090621,           0.0090621
                  11,             0.03338,            0.051198,            0.016811,              0.9041,             0.88296,             0.91615,             0.58763,            0.032046,            0.059492,            0.012678,           0.0089579,           0.0089579,           0.0089579
                  12,            0.033138,             0.05169,            0.015523,             0.92551,             0.89706,             0.93372,             0.60697,            0.031898,            0.059142,            0.011019,           0.0088537,           0.0088537,           0.0088537
                  13,            0.032402,             0.05077,            0.014942,             0.91633,             0.88769,             0.92596,              0.6162,            0.030739,            0.058729,            0.011425,           0.0087495,           0.0087495,           0.0087495
                  14,            0.032551,            0.050731,            0.014079,             0.92292,              0.8957,             0.93102,             0.61932,            0.030625,            0.059307,            0.010682,           0.0086453,           0.0086453,           0.0086453
                  15,            0.031764,            0.049333,            0.013375,             0.92195,             0.90523,             0.93237,             0.60773,             0.03174,            0.060885,            0.010138,           0.0085411,           0.0085411,           0.0085411
                  16,            0.031542,            0.051132,            0.012857,              0.9367,             0.91383,             0.94168,             0.63063,            0.030195,            0.059664,           0.0093053,           0.0084368,           0.0084368,           0.0084368
                  17,            0.031254,            0.049569,            0.012309,              0.9493,             0.92002,             0.94583,             0.64618,             0.02975,            0.058134,           0.0084847,           0.0083326,           0.0083326,           0.0083326
                  18,            0.031446,            0.050639,            0.011802,              0.9432,             0.91688,             0.93701,             0.62373,            0.030891,            0.059074,           0.0088386,           0.0082284,           0.0082284,           0.0082284
