                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2767,                 1.5664,                 1.0892,                0.75191,                0.76156,                0.81075,                0.52733,                   1.17,                0.94164,                 1.1268,             0.00020778,             0.00020778,             0.00020778
                      2,                 1.2063,                0.97336,                 1.0737,                0.85941,                0.82424,                0.88552,                0.58316,                 1.1416,                0.77436,                  1.123,               0.000412,               0.000412,               0.000412
                      3,                 1.1803,                0.88487,                 1.0644,                0.86093,                 0.8188,                0.88405,                0.58376,                  1.133,                 0.7994,                  1.114,             0.00061208,             0.00061208,             0.00061208
                      4,                 1.1772,                0.83344,                 1.0699,                0.88828,                0.85214,                0.91106,                0.60449,                 1.1474,                0.69116,                 1.1062,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.1532,                0.77961,                 1.0591,                  0.908,                0.87981,                0.92578,                0.61868,                 1.1084,                0.66617,                 1.0947,             0.00060644,             0.00060644,             0.00060644
                      6,                 1.1318,                0.74343,                 1.0501,                0.92105,                0.88982,                0.93169,                0.62939,                 1.1054,                0.59752,                 1.0898,             0.00060025,             0.00060025,             0.00060025
                      7,                 1.1182,                0.70498,                 1.0451,                0.91986,                0.87961,                0.92727,                0.61263,                 1.1289,                 0.6685,                  1.104,             0.00059406,             0.00059406,             0.00059406
                      8,                 1.1104,                0.68727,                 1.0445,                0.93669,                0.90507,                0.94425,                0.64286,                 1.0835,                0.53987,                 1.0821,             0.00058787,             0.00058787,             0.00058787
                      9,                 1.0941,                 0.6611,                 1.0295,                0.93499,                0.91149,                0.94054,                0.63356,                 1.0948,                0.56162,                 1.0813,             0.00058169,             0.00058169,             0.00058169
                     10,                 1.0868,                0.64142,                   1.03,                0.93009,                0.90179,                0.93966,                0.63769,                 1.0748,                0.56121,                 1.0824,              0.0005755,              0.0005755,              0.0005755
                     11,                 1.0806,                 0.6237,                  1.022,                0.93303,                0.91538,                0.94582,                0.64668,                 1.0756,                0.53939,                 1.0798,             0.00056931,             0.00056931,             0.00056931
                     12,                 1.0683,                0.61302,                 1.0241,                0.94908,                0.92392,                0.95034,                 0.6538,                 1.0576,                 0.4991,                 1.0668,             0.00056313,             0.00056313,             0.00056313
                     13,                 1.0514,                0.59085,                 1.0159,                0.94664,                0.91581,                 0.9453,                0.64902,                 1.0598,                0.50843,                 1.0763,             0.00055694,             0.00055694,             0.00055694
                     14,                 1.0656,                0.59292,                 1.0194,                0.95347,                0.92377,                0.95037,                0.65374,                 1.0615,                0.49545,                 1.0662,             0.00055075,             0.00055075,             0.00055075
                     15,                 1.0483,                0.58037,                 1.0139,                0.94373,                0.91971,                0.94764,                0.64886,                 1.0541,                0.49718,                  1.065,             0.00054456,             0.00054456,             0.00054456
                     16,                 1.0499,                0.57361,                  1.016,                0.94237,                0.92289,                0.94553,                0.65151,                 1.0585,                0.49719,                 1.0697,             0.00053838,             0.00053838,             0.00053838
                     17,                 1.0535,                0.57156,                 1.0171,                0.94829,                0.92316,                0.94862,                0.65967,                 1.0452,                0.47631,                 1.0692,             0.00053219,             0.00053219,             0.00053219
                     18,                 1.0437,                0.55889,                 1.0153,                0.95432,                0.93317,                0.95366,                0.66451,                 1.0485,                0.46524,                 1.0652,               0.000526,               0.000526,               0.000526
                     19,                 1.0373,                0.56094,                 1.0123,                0.95163,                0.93314,                0.95362,                0.66448,                 1.0356,                0.46074,                 1.0577,             0.00051981,             0.00051981,             0.00051981
                     20,                 1.0227,                0.54686,                 1.0032,                0.95205,                 0.9331,                0.94842,                0.66708,                 1.0384,                0.46551,                 1.0598,             0.00051363,             0.00051363,             0.00051363
                     21,                 1.0229,                0.54258,                 1.0027,                0.95117,                0.92678,                0.95008,                0.66347,                 1.0394,                0.46672,                 1.0598,             0.00050744,             0.00050744,             0.00050744
                     22,                 1.0211,                0.53458,                 1.0043,                0.95014,                0.93461,                0.95118,                0.66385,                 1.0408,                0.45836,                  1.058,             0.00050125,             0.00050125,             0.00050125
                     23,                 1.0139,                0.52925,                0.99754,                0.95635,                 0.9318,                0.95447,                0.67238,                 1.0311,                 0.4466,                 1.0561,             0.00049506,             0.00049506,             0.00049506
                     24,                  1.003,                0.52403,                0.99865,                0.95405,                0.93452,                0.95296,                0.67139,                 1.0263,                0.46041,                 1.0491,             0.00048888,             0.00048888,             0.00048888
                     25,                 1.0009,                0.51776,                0.99591,                0.95762,                0.93913,                0.95671,                 0.6742,                 1.0227,                0.43704,                  1.053,             0.00048269,             0.00048269,             0.00048269
                     26,                 1.0018,                0.50725,                0.99179,                 0.9593,                0.93751,                0.95491,                0.67332,                  1.025,                0.44477,                 1.0516,              0.0004765,              0.0004765,              0.0004765
                     27,                 1.0033,                0.50805,                 1.0002,                0.95644,                0.93789,                 0.9578,                0.67465,                   1.03,                0.43506,                 1.0537,             0.00047031,             0.00047031,             0.00047031
                     28,                0.99596,                0.50653,                0.99688,                0.95944,                0.93785,                0.95405,                0.67169,                 1.0323,                0.43997,                 1.0562,             0.00046413,             0.00046413,             0.00046413
                     29,                0.98326,                0.49705,                0.98713,                0.96209,                0.93721,                0.95563,                0.67407,                 1.0269,                0.42527,                 1.0549,             0.00045794,             0.00045794,             0.00045794
                     30,                0.98324,                0.49329,                0.98707,                0.95712,                0.93882,                0.95553,                0.67179,                 1.0262,                0.42507,                 1.0593,             0.00045175,             0.00045175,             0.00045175
                     31,                0.98405,                0.49096,                0.98871,                 0.9623,                0.93895,                0.95804,                0.68272,                 1.0098,                0.42319,                 1.0421,             0.00044556,             0.00044556,             0.00044556
                     32,                0.99078,                0.49341,                0.99076,                0.95336,                0.93772,                0.95596,                0.67525,                 1.0169,                0.43768,                  1.048,             0.00043937,             0.00043937,             0.00043937
                     33,                0.97051,                0.48219,                0.98608,                0.96855,                0.93798,                0.95837,                0.68273,                 1.0144,                0.42055,                 1.0446,             0.00043319,             0.00043319,             0.00043319
                     34,                 0.9645,                0.47633,                0.97965,                0.96562,                0.94094,                0.95684,                0.67961,                 1.0113,                0.41843,                 1.0441,               0.000427,               0.000427,               0.000427
                     35,                0.96609,                 0.4725,                0.98026,                 0.9618,                0.94133,                0.95796,                0.68598,                 1.0042,                0.41408,                   1.04,             0.00042081,             0.00042081,             0.00042081
                     36,                0.96058,                0.47116,                0.98242,                 0.9639,                0.93698,                0.95822,                0.67763,                 1.0179,                0.42096,                 1.0469,             0.00041462,             0.00041462,             0.00041462
                     37,                0.94918,                0.46498,                0.97819,                0.95928,                0.94343,                0.95947,                0.68202,                 1.0186,                0.42012,                  1.048,             0.00040844,             0.00040844,             0.00040844
                     38,                0.94725,                0.46175,                0.97617,                0.96744,                0.94301,                0.95937,                0.68612,                 1.0039,                 0.4011,                 1.0384,             0.00040225,             0.00040225,             0.00040225
                     39,                0.94859,                0.46157,                 0.9782,                0.96504,                 0.9431,                0.95668,                0.68116,                 1.0178,                0.40921,                 1.0458,             0.00039606,             0.00039606,             0.00039606
                     40,                0.95037,                0.45777,                 0.9802,                 0.9634,                 0.9427,                0.95663,                0.67908,                 1.0163,                0.41549,                 1.0417,             0.00038988,             0.00038988,             0.00038988
                     41,                0.94818,                0.46524,                0.97461,                0.96662,                0.94163,                0.95865,                 0.6859,                 1.0143,                0.40648,                 1.0419,             0.00038369,             0.00038369,             0.00038369
                     42,                0.94049,                0.45358,                0.97336,                0.96994,                0.94432,                0.96127,                0.68898,                 1.0088,                0.40128,                 1.0403,              0.0003775,              0.0003775,              0.0003775
                     43,                0.92455,                0.43954,                0.96253,                0.96698,                0.94456,                0.95991,                0.68608,                 1.0178,                0.40151,                 1.0441,             0.00037131,             0.00037131,             0.00037131
                     44,                0.93092,                0.44561,                0.96833,                0.96494,                0.94339,                0.96018,                0.68646,                 1.0178,                0.40479,                 1.0402,             0.00036513,             0.00036513,             0.00036513
                     45,                0.93211,                0.44559,                0.97054,                 0.9641,                 0.9466,                0.96035,                0.68841,                 1.0092,                0.39995,                 1.0407,             0.00035894,             0.00035894,             0.00035894
