                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3234,                 1.5035,                 1.1083,                0.85635,                0.83863,                0.89953,                0.58744,                 1.1689,                 0.7121,                 1.1186,             0.00020794,             0.00020794,             0.00020794
                      2,                 1.2152,                0.93357,                 1.0743,                0.90997,                0.89081,                0.93286,                0.62751,                 1.1395,                0.58187,                 1.0893,             0.00039979,             0.00039979,             0.00039979
                      3,                 1.1828,                0.84747,                 1.0609,                0.92341,                 0.8876,                0.93338,                0.62426,                 1.1442,                 0.5816,                 1.0935,             0.00057514,             0.00057514,             0.00057514
                      4,                 1.1684,                 0.7959,                 1.0545,                0.93534,                0.90731,                0.93852,                0.63869,                 1.1239,                0.53175,                 1.0839,             0.00055075,             0.00055075,             0.00055075
                      5,                 1.1353,                0.74643,                 1.0453,                0.94378,                0.92121,                0.94826,                0.64981,                 1.1021,                0.49817,                 1.0731,             0.00055075,             0.00055075,             0.00055075
                      6,                 1.1114,                0.69269,                  1.034,                0.94822,                0.93133,                0.94949,                0.66177,                 1.0876,                0.47576,                 1.0671,               0.000526,               0.000526,               0.000526
                      7,                 1.0903,                0.66565,                 1.0248,                0.95741,                0.93436,                0.95449,                0.66547,                   1.09,                0.45344,                 1.0666,             0.00050125,             0.00050125,             0.00050125
                      8,                 1.0745,                0.63964,                   1.02,                0.95164,                0.92903,                0.95451,                0.66675,                 1.0717,                0.46174,                 1.0621,              0.0004765,              0.0004765,              0.0004765
                      9,                 1.0549,                0.61757,                 1.0131,                0.96293,                0.93472,                0.95495,                0.67305,                 1.0642,                0.44094,                 1.0552,             0.00045175,             0.00045175,             0.00045175
                     10,                  1.043,                0.59955,                 1.0049,                0.95664,                0.93912,                0.95758,                 0.6752,                 1.0628,                0.43506,                 1.0575,               0.000427,               0.000427,               0.000427
                     11,                 1.0284,                 0.5829,                 1.0016,                0.96473,                 0.9406,                0.95718,                 0.6774,                  1.055,                 0.4248,                 1.0548,             0.00040225,             0.00040225,             0.00040225
                     12,                 1.0164,                0.55695,                0.99324,                0.96846,                0.94344,                0.96027,                0.68458,                 1.0547,                 0.4117,                 1.0532,              0.0003775,              0.0003775,              0.0003775
                     13,                0.99951,                0.54981,                0.99336,                 0.9621,                0.94851,                 0.9598,                0.68777,                 1.0478,                0.40782,                 1.0468,             0.00035275,             0.00035275,             0.00035275
                     14,                0.98629,                0.53339,                0.98517,                 0.9721,                0.94565,                0.96132,                0.68988,                 1.0434,                  0.401,                 1.0461,               0.000328,               0.000328,               0.000328
                     15,                0.97453,                0.52026,                0.97964,                0.97215,                0.94479,                 0.9614,                0.68704,                  1.054,                0.40096,                  1.053,             0.00030325,             0.00030325,             0.00030325
                     16,                0.95313,                0.45738,                 1.0128,                0.97223,                0.94667,                  0.963,                0.69249,                 1.0554,                0.40089,                 1.0466,              0.0002785,              0.0002785,              0.0002785
                     17,                0.93279,                0.44237,                  1.003,                0.96886,                0.94904,                0.96149,                 0.6934,                 1.0366,                0.39441,                 1.0445,             0.00025375,             0.00025375,             0.00025375
                     18,                0.91649,                0.42923,                0.99673,                0.97323,                 0.9481,                0.96339,                0.69627,                  1.038,                0.38822,                 1.0457,               0.000229,               0.000229,               0.000229
                     19,                0.89702,                0.41435,                0.99007,                0.97297,                0.94865,                0.96267,                0.69596,                 1.0351,                0.38612,                 1.0455,             0.00020425,             0.00020425,             0.00020425
                     20,                 0.8781,                 0.4001,                0.98211,                0.97172,                0.94871,                0.96293,                0.69796,                 1.0335,                0.38431,                 1.0443,              0.0001795,              0.0001795,              0.0001795
                     21,                0.86346,                0.38981,                0.97386,                0.97222,                0.94933,                0.96259,                0.69956,                 1.0356,                0.38044,                 1.0459,             0.00015475,             0.00015475,             0.00015475
                     22,                0.84463,                0.37857,                0.96798,                0.97179,                0.94979,                0.96492,                0.70053,                 1.0381,                0.38054,                 1.0451,                0.00013,                0.00013,                0.00013
                     23,                0.82863,                0.36698,                 0.9591,                0.97327,                0.95004,                0.96346,                 0.7001,                 1.0377,                0.37834,                 1.0483,             0.00010525,             0.00010525,             0.00010525
                     24,                0.81386,                0.35946,                0.95499,                0.97147,                0.94942,                0.96315,                0.69968,                 1.0406,                0.38102,                 1.0503,               8.05e-05,               8.05e-05,               8.05e-05
                     25,                0.80055,                 0.3502,                0.95046,                0.97268,                 0.9484,                 0.9647,                 0.7021,                 1.0418,                0.38113,                 1.0513,              5.575e-05,              5.575e-05,              5.575e-05
